1,2,3,female,male,C,Q,S,Dr,Master,Miss,Mr,Mrs,adult,aged,child,senior,High,Low,Age,Fare,SibSp,Parch,Family_Size,Family,AgeFill,Fare_Per_Person,Cabin,AgeClass,ClassFare
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.05404476442499598,-0.037484117572401957,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.05404476442499598,-0.013499865149044088,1,0.013719842629260551,-0.01065779308594414
0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-0.18470869121712516,-0.04718647301105351,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.18470869121712516,-0.02320222058769564,1,-0.0903148959269182,-0.01439054929035334
1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.02135106367251596,0.006432957620657507,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.02135106367251596,0.030417210044015375,1,-0.16721013746844163,0.007884971995569855
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-0.27267049066422244,-0.02172276725311506,0.3096240179573513,0.10306771417882528,0.3095398428731762,0.15200617283950618,-0.27267049066422244,-0.030647043174423082,1,-0.18530313547821184,-0.03672501705053566
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.10430864982333728,-0.0015941077896294738,0.0596240179573513,0.7697343808454921,0.5095398428731762,0.2770061728395062,0.10430864982333728,-0.030122129561401277,1,0.22178931974161806,-0.03515027621147023
0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,-0.04875616687195388,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.024771914448596017,1,0.10914843382329197,-0.019099630873054465
1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.13444480581878387,0.4504833845727032,0.3096240179573513,0.26973438084549195,0.40953984287317624,0.3395061728395062,-0.13444480581878387,0.04668279344885222,1,-0.20791938299042462,0.024150555400406698
0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.0,-0.04747925351234057,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023495001088982705,1,0.10914843382329197,-0.015268890794214526
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0,-0.047446852470198135,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023462600046840268,1,0.10914843382329197,-0.01517168766778722
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0.12944059252250792,-0.0087510295500913,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.12944059252250792,0.015233222873266568,1,-0.11293114343913098,-0.00729901517517895
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.22313112746926267,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.0,0.1041206023160155,1,-0.15952460441679145,0.08158836426756996
0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.0,-0.047731435117449164,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023747182694091293,1,0.10914843382329197,-0.016025435609540294
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.45615584761172634,-0.042363792593853006,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.45615584761172634,-0.01837954017049514,1,0.30320781078558406,-0.02041714312884624
1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,-0.02135106367251596,0.0975282924171126,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,-0.02135106367251596,0.041319184789940455,1,-0.16721013746844163,0.018786946741494937
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.15457253522167858,0.038638812762234444,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.15457253522167858,0.011874444962501379,1,-0.10388464443424586,-0.01065779308594414
0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,-0.04874796901791785,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.02476371659455998,1,0.10914843382329197,-0.019075037310946345
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.10931286311961322,-0.04714587411487504,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.10931286311961322,-0.023161621691517167,1,-0.008896404882952222,-0.014268752601817912
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-0.1470107771683692,-0.02772476752949985,0.18462401795735128,-0.06359895248784138,0.1095398428731762,-0.035493827160493825,-0.1470107771683692,-0.02716295520910703,1,-0.04960565040493521,-0.026272753154587502
0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,-0.19727466256671047,-0.04091609060848891,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,-0.19727466256671047,-0.027903006722860297,1,-0.10388464443424586,-0.028492907695847305
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.12944059252250792,-0.044364459352647934,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.12944059252250792,-0.02962719109493981,1,0.24892881675627337,-0.03366546081208585
0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,-0.033917035022101284,-0.02186915750375859,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,-0.033917035022101284,-0.01837954017049514,1,-0.04960565040493521,-0.02041714312884624
0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,-0.047446852470198135,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023462600046840268,1,0.10914843382329197,-0.01517168766778722
0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,-0.335500347412149,0.0182987657768196,0.0596240179573513,0.26973438084549195,0.2095398428731762,0.08950617283950618,-0.335500347412149,-0.018584876895397798,1,-0.26672162652217785,-0.020827816578651563
0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,-0.13444480581878387,-0.04747925351234057,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.13444480581878387,-0.023495001088982705,1,-0.036035901897607546,-0.015268890794214526
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0,-0.04714587411487504,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023161621691517167,1,0.10914843382329197,-0.014268752601817912
0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.0,-0.0326044425509509,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.0,-0.023747182694091293,1,0.10914843382329197,-0.016025435609540294
0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.0,-0.047731435117449164,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023747182694091293,1,0.10914843382329197,-0.016025435609540294
0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,-0.020543447393930766,0.18462401795735128,-0.06359895248784138,0.1095398428731762,-0.035493827160493825,0.0,-0.024769181830584,1,0.10914843382329197,-0.019091433019018417
0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,-0.1470107771683692,-0.028115141531215936,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,-0.1470107771683692,-0.02150253218422381,1,-0.04960565040493521,-0.009291484079937838
0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,-0.28523646201380776,0.014606413281588017,0.4346240179573513,0.10306771417882528,0.40953984287317624,0.21450617283950618,-0.28523646201380776,-0.025963368433000317,1,-0.1988728839855395,-0.022673992826267354
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.10931286311961322,-0.04763384161702014,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.10931286311961322,-0.023649589193662272,1,-0.008896404882952222,-0.015732655108253234
1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.24253433466877583,0.0869069965784214,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.24253433466877583,0.036008536870594854,1,-0.07222189791714799,0.013476298822149334
0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,-0.008785092322930637,-0.012109807460856489,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,-0.008785092322930637,-0.013499865149044088,1,-0.03151265239516499,-0.01065779308594414
1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0.443589876262141,0.05811691395186017,-0.0653759820426487,0.10306771417882528,0.009539842873176208,-0.035493827160493825,0.443589876262141,0.021613495557314243,1,0.00015009412193288756,-0.0009187424911312742
1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0,0.006432957620657507,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,0.030417210044015375,1,-0.15952460441679145,0.007884971995569855
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,-0.10931286311961322,-0.042363792593853006,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.10931286311961322,-0.01837954017049514,1,-0.10388464443424586,-0.02041714312884624
0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.015068077997723299,-0.04874796901791785,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.015068077997723299,-0.02476371659455998,1,0.09287670892200525,-0.019075037310946345
0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-0.3103684047129784,-0.008694034945840753,0.0596240179573513,0.26973438084549195,0.2095398428731762,0.08950617283950618,-0.3103684047129784,-0.025333077076062888,1,-0.2486286285124076,-0.034324216939981736
0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.23497257661546644,0.0286842757184743,0.5596240179573513,0.26973438084549195,0.6095398428731762,0.5895061728395061,-0.23497257661546644,-0.027431337335286837,1,-0.14459388995622885,-0.02707789953312693
0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.0967468917700279,-0.04874796901791785,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.0967468917700279,-0.02476371659455998,1,0.004673343624375442,-0.019075037310946345
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0.10430864982333728,0.09329117300248622,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.10430864982333728,0.11727542542584408,1,-0.12197764244401609,0.09474318737739856
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.19227044927043455,0.10007392128230316,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.19227044927043455,0.04259199922253574,1,-0.0903148959269182,0.020059761174090224
0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,-0.3229343760625637,-0.008401254444553691,0.3096240179573513,0.26973438084549195,0.40953984287317624,0.3395061728395062,-0.3229343760625637,-0.0297979797206906,1,-0.2395821295075225,-0.034177826689338206
1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0,-0.0087510295500913,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,0.015233222873266568,1,-0.15952460441679145,-0.00729901517517895
0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,-0.03310060790713205,0.0596240179573513,0.10306771417882528,0.1095398428731762,0.027006172839506175,0.0,-0.028954902001651097,1,0.10914843382329197,-0.0316485935322197
0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,-0.008785092322930637,-0.042363792593853006,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.008785092322930637,-0.01837954017049514,1,-0.03151265239516499,-0.02041714312884624
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.13444480581878387,-0.04693448659294577,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.13444480581878387,-0.02295023416958791,1,-0.036035901897607546,-0.013634590036030136
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-0.1595767485179545,-0.047389857865947585,0.4346240179573513,0.26973438084549195,0.5095398428731762,0.4645061728395062,-0.1595767485179545,-0.03666437957230387,1,-0.06317539891226287,-0.054777026244178
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.046483006371686605,-0.045950353734619524,0.18462401795735128,-0.06359895248784138,0.1095398428731762,-0.035493827160493825,-0.046483006371686605,-0.03323815061081359,1,0.0589523376536861,-0.044498339359707186
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.028912821725825332,-0.042363792593853006,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.028912821725825332,-0.01837954017049514,1,-0.004373155380509667,-0.02041714312884624
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-0.17214271986753985,0.0286842757184743,0.5596240179573513,0.26973438084549195,0.6095398428731762,0.5895061728395061,-0.17214271986753985,-0.027431337335286837,1,-0.07674514741959054,-0.02707789953312693
0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.10931286311961322,0.08060401794671349,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.10931286311961322,0.10458827037007136,1,-0.10388464443424586,0.22551847795228674
0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.046483006371686605,-0.03464570820592431,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,-0.046483006371686605,-0.024767815521577998,1,0.0589523376536861,-0.0190873340920004
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.028912821725825332,0.04741402994681031,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.028912821725825332,0.07139828237016817,1,0.14037082869765208,0.26941095958323813
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.05904897772127193,-0.047926622118307206,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.05904897772127193,-0.023942369694949336,1,0.04538258914635843,-0.016610996612114418
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0,-0.047446852470198135,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023462600046840268,1,0.10914843382329197,-0.01517168766778722
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0,-0.04714587411487504,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023161621691517167,1,0.10914843382329197,-0.014268752601817912
0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,-0.3627685052407492,-0.006254197435115226,-0.0653759820426487,0.26973438084549195,0.1095398428731762,-0.035493827160493825,-0.3627685052407492,-0.020006098510978825,1,-0.28635252936277855,-0.02367025980981361
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.0037808790266546863,-0.03850884932690667,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0037808790266546863,-0.01452459690354881,1,0.11323133168299675,0.01164232176208716
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.0967468917700279,-0.04529159760672364,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.0967468917700279,-0.02130734518336577,1,0.004673343624375442,-0.008705923077363719
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.008785092322930637,-0.04431566260243343,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.008785092322930637,-0.020331410179075558,1,0.09966158317566909,-0.005778118064493088
0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.0,-0.04765823999212739,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.02367398756876953,1,0.10914843382329197,-0.015805850233575003
1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.02135106367251596,0.029074649720190388,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.02135106367251596,0.053058902143548255,1,-0.16721013746844163,0.030526664095102737
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,-0.1595767485179545,-0.042363792593853006,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.1595767485179545,-0.01837954017049514,1,-0.1400706404537863,-0.02041714312884624
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.04147879307541066,-0.031921288047947756,0.3096240179573513,-0.06359895248784138,0.2095398428731762,-0.035493827160493825,0.04147879307541066,-0.031139890351589636,1,0.15394057720497975,-0.03820355858203533
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.17214271986753985,0.004237103861004534,0.0596240179573513,0.43640104751215864,0.3095398428731762,0.15200617283950618,-0.17214271986753985,-0.02545506895159916,1,-0.07674514741959054,-0.021149094382063898
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0,-0.04714587411487504,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023161621691517167,1,0.10914843382329197,-0.014268752601817912
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,-0.08418092042044258,0.4504833845727032,0.3096240179573513,0.26973438084549195,0.40953984287317624,0.3395061728395062,-0.08418092042044258,0.04668279344885222,1,-0.1898263849806544,0.024150555400406698
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.07161494907085725,-0.04714587411487504,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.07161494907085725,-0.023161621691517167,1,0.03181284063903077,-0.014268752601817912
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.008785092322930637,-0.04714587411487504,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.008785092322930637,-0.023161621691517167,1,0.09966158317566909,-0.014268752601817912
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.12187883446919855,-0.047528050262555084,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.12187883446919855,-0.023543797839197217,1,-0.022466153390279884,-0.015415281044858056
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.20483642062001986,0.0565472200909598,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.20483642062001986,0.020828648626864055,1,-0.08579164642447565,-0.0017035894215814628
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.046483006371686605,-0.022698702257405272,0.0596240179573513,0.26973438084549195,0.2095398428731762,0.08950617283950618,-0.046483006371686605,-0.028834243903954015,1,0.0589523376536861,-0.03128661923912846
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.3681940481646291,-0.048707370121739375,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.3681940481646291,-0.024723117698381505,1,0.506754038395499,-0.018953240622410925
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0,-0.04714587411487504,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023161621691517167,1,0.10914843382329197,-0.014268752601817912
1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0.518985704359653,0.004782065967400193,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.518985704359653,0.02876631839075806,1,0.027289591136588215,0.0062340803423125415
1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,-0.08418092042044258,0.060808737880693436,-0.0653759820426487,0.10306771417882528,0.009539842873176208,-0.035493827160493825,-0.08418092042044258,0.022959407521730875,1,-0.1898263849806544,0.00042716947328535587
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.05404476442499598,-0.01796541748659775,-0.0653759820426487,0.10306771417882528,0.009539842873176208,-0.035493827160493825,0.05404476442499598,-0.01642767016191472,1,0.013719842629260551,-0.0165134031116854
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.05404476442499598,-0.012109807460856489,0.0596240179573513,-0.06359895248784138,0.009539842873176208,-0.035493827160493825,0.05404476442499598,-0.013499865149044088,1,0.013719842629260551,-0.01065779308594414
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-0.02135106367251596,-0.047446852470198135,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,-0.02135106367251596,-0.023462600046840268,1,0.08609183466834142,-0.01517168766778722
0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0,-0.047446852470198135,-0.0653759820426487,-0.06359895248784138,-0.09046015712682379,-0.035493827160493825,0.0,-0.023462600046840268,1,0.10914843382329197,-0.01517168766778722
